Ride_ID,Date,City,Pickup_Area,Drop_Area,Customer_Age,Customer_Gender,Vehicle_Type,Ride_Distance_KM,Ride_Duration_Min,Fare_Amount,Surge_Multiplier,Payment_Mode,Driver_Rating,Ride_Status,Time_Of_Day
RID00001,2024-01-17 00:05,Ahmedabad,Navrangpura,Gota,31,Male,Bike,4.35,16,116.17,2.0,UPI,4.2,Completed,Afternoon
RID00002,2024-12-23 13:21,Surat,Althan,Piplod,35,Male,Bike,15.14,89,190.05,1.0,Cash,,Cancelled,Afternoon
RID00003,2024-07-12 02:35,Rajkot,Gondal Road,150 Feet Ring Road,36,Female,Auto,9.62,43,123.55,1.0,Cash,4.1,Completed,Night
RID00004,2024-06-30 06:42,Ahmedabad,Navrangpura,Maninagar,35,Male,Bike,21.53,131,249.78,1.2,Cash,3.3,Completed,Evening
RID00005,2024-01-29 07:52,Surat,Athwa,Althan,20,Female,Bike,24.75,134,345.92,1.5,Wallet,4.7,Completed,Night
RID00006,2024-10-14 17:16,Rajkot,Gondal Road,Raiya Road,55,Female,Bike,16.73,78,359.8,2.0,Wallet,3.3,Completed,Evening
RID00007,2024-07-16 12:38,Rajkot,Mavdi,150 Feet Ring Road,47,Female,Auto,19.14,116,225.18,1.0,UPI,4.2,Completed,Night
RID00008,2024-04-01 16:58,Ahmedabad,Thaltej,Maninagar,24,Female,Bike,8.04,31,110.33,1.0,Cash,4.9,Completed,Evening
RID00009,2024-05-02 01:15,Surat,Katargam,Athwa,54,Male,Bike,8.78,31,116.53,1.0,UPI,,No Show,Morning
RID00010,2024-10-03 23:44,Vadodara,Fatehgunj,Harni,30,Female,Auto,16.83,106,161.41,1.0,Wallet,4.9,Completed,Afternoon
RID00011,2024-01-04 02:45,Rajkot,Kothariya,Aji Dam,21,Male,Bike,6.95,25,80.13,1.0,UPI,4.2,Completed,Night
RID00012,2024-08-30 13:12,Ahmedabad,Gota,Satellite,24,Male,Auto,17.06,70,210.52,1.0,Wallet,3.5,Completed,Afternoon
RID00013,2024-02-25 07:12,Rajkot,Bhaktinagar,Kothariya,30,Female,Bike,17.16,110,143.52,1.0,Cash,4.6,Completed,Night
RID00014,2024-05-01 05:26,Vadodara,Manjalpur,Vadsar,49,Female,Bike,21.99,81,283.26,1.5,Cash,4.9,Completed,Night
RID00015,2024-05-31 06:03,Vadodara,Alkapuri,Gotri,55,Male,Auto,24.65,105,287.27,1.2,Card,3.3,Completed,Night
RID00016,2024-04-30 12:07,Ahmedabad,Navrangpura,Thaltej,54,Male,Bike,24.06,89,202.37,1.0,UPI,4.4,Completed,Afternoon
RID00017,2024-06-02 14:20,Ahmedabad,Chandkheda,Naranpura,22,Male,Bike,5.9,33,56.6,1.0,Wallet,4.3,Completed,Evening
RID00018,2024-05-25 05:28,Ahmedabad,Satellite,Naranpura,52,Female,Bike,7.36,46,97.71,1.0,UPI,,No Show,Afternoon
RID00019,2024-04-14 21:40,Rajkot,Gondal Road,Mavdi,34,Female,Bike,22.35,128,215.32,1.0,Card,4.4,Completed,Evening
RID00020,2024-10-09 22:27,Ahmedabad,Satellite,Prahlad Nagar,53,Male,Bike,1.09,6,30.26,2.0,UPI,4.5,Completed,Evening
RID00021,2024-01-21 11:13,Ahmedabad,Bopal,Naranpura,33,Male,Bike,14.98,59,123.6,1.0,Card,4.8,Completed,Morning
RID00022,2024-07-29 21:55,Vadodara,Harni,Manjalpur,33,Female,Bike,24.43,144,238.89,1.2,Cash,4.6,Completed,Afternoon
RID00023,2024-12-03 06:25,Ahmedabad,Chandkheda,Navrangpura,39,Female,Bike,5.79,36,56.92,1.0,UPI,3.4,Completed,Night
RID00024,2024-01-20 03:38,Rajkot,University Road,Aji Dam,45,Female,Bike,8.95,32,81.19,1.0,Card,,No Show,Night
RID00025,2024-09-23 17:43,Vadodara,Harni,Waghodia Road,30,Female,Bike,22.59,91,276.79,1.0,Wallet,,Cancelled,Morning
RID00026,2024-04-08 13:42,Ahmedabad,Gota,Chandkheda,42,Male,Bike,13.17,72,137.16,1.0,Card,4.1,Completed,Morning
RID00027,2024-12-11 06:32,Vadodara,Waghodia Road,Alkapuri,48,Male,Auto,6.04,35,108.07,1.5,UPI,3.9,Completed,Evening
RID00028,2024-08-31 19:54,Rajkot,Pedak Road,University Road,22,Female,Bike,17.15,71,152.36,1.0,Wallet,3.5,Completed,Morning
RID00029,2024-12-22 16:29,Surat,Piplod,Althan,21,Male,Bike,4.54,25,57.52,1.0,UPI,3.4,Completed,Night
RID00030,2024-03-22 23:55,Vadodara,Manjalpur,Waghodia Road,48,Female,Auto,15.7,88,248.7,1.5,Card,,Cancelled,Evening
RID00031,2024-10-03 02:08,Surat,Udhna,City Light,27,Male,Bike,7.59,28,71.4,1.0,Wallet,3.6,Completed,Night
RID00032,2024-07-18 18:44,Surat,Rander,Vesu,19,Female,Auto,8.94,43,82.61,1.0,Wallet,,Cancelled,Night
RID00033,2024-04-22 08:27,Ahmedabad,Gota,Maninagar,49,Male,Auto,13.92,79,279.52,1.5,Wallet,,Cancelled,Night
RID00034,2024-08-07 04:55,Rajkot,Bhaktinagar,150 Feet Ring Road,47,Male,Bike,24.54,125,340.16,1.2,UPI,3.2,Completed,Night
RID00035,2024-05-09 02:30,Rajkot,Bhaktinagar,University Road,19,Male,Auto,8.84,51,102.57,1.2,Card,,Cancelled,Afternoon
RID00036,2024-10-15 06:29,Surat,Vesu,Adajan,34,Female,Auto,5.78,20,54.51,1.0,Cash,4.3,Completed,Morning
RID00037,2024-07-22 22:12,Ahmedabad,Bopal,Gota,22,Male,Auto,1.62,7,43.57,2.0,UPI,,No Show,Morning
RID00038,2024-08-03 15:06,Rajkot,Aji Dam,Gondal Road,45,Female,Bike,13.79,75,152.18,1.0,Wallet,3.0,Completed,Morning
RID00039,2024-06-14 07:53,Surat,Piplod,Athwa,23,Female,Bike,20.4,104,264.12,1.2,Wallet,,No Show,Evening
RID00040,2024-11-01 22:56,Surat,Dumas,Piplod,35,Male,Bike,12.86,57,143.1,1.2,Cash,3.7,Completed,Evening
RID00041,2024-01-09 02:18,Ahmedabad,Vastrapur,Prahlad Nagar,32,Female,Auto,19.2,106,471.21,2.0,Cash,,No Show,Night
RID00042,2024-12-25 14:17,Rajkot,Aji Dam,University Road,37,Female,Bike,13.74,65,310.59,2.0,Cash,,No Show,Night
RID00043,2024-05-21 23:37,Ahmedabad,Vastrapur,Chandkheda,51,Female,Auto,23.82,132,221.49,1.0,UPI,,No Show,Morning
RID00044,2024-12-23 04:40,Surat,Udhna,Rander,49,Male,Bike,8.25,46,79.58,1.0,UPI,4.1,Completed,Evening
RID00045,2024-02-07 18:40,Rajkot,Kothariya,Pedak Road,21,Male,Bike,5.42,19,56.48,1.2,Cash,3.8,Completed,Night
RID00046,2024-08-18 14:19,Rajkot,Gondal Road,Raiya Road,55,Female,Auto,19.35,102,271.5,1.5,Card,,No Show,Morning
RID00047,2024-07-28 14:44,Ahmedabad,Naranpura,Satellite,48,Female,Bike,7.35,27,66.47,1.0,UPI,3.3,Completed,Afternoon
RID00048,2024-10-05 07:41,Surat,Udhna,Katargam,27,Female,Bike,17.5,109,403.86,2.0,Cash,3.9,Completed,Night
RID00049,2024-12-18 09:44,Ahmedabad,Navrangpura,Vastrapur,43,Female,Auto,18.97,98,201.74,1.0,Wallet,,No Show,Evening
RID00050,2024-12-10 08:36,Vadodara,Fatehgunj,Alkapuri,20,Male,Bike,15.49,55,213.32,1.0,Wallet,5.0,Completed,Night
RID00051,2024-03-23 10:26,Vadodara,Sama,Manjalpur,49,Female,Bike,24.26,119,291.12,1.2,Wallet,,Cancelled,Night
RID00052,2024-10-04 14:26,Ahmedabad,Prahlad Nagar,Satellite,21,Male,Bike,8.76,56,138.65,1.2,Card,4.3,Completed,Evening
RID00053,2024-11-18 19:51,Vadodara,Karelibaug,Alkapuri,33,Male,Auto,14.18,89,226.06,1.2,Card,3.2,Completed,Afternoon
RID00054,2024-05-29 16:45,Ahmedabad,Thaltej,Chandkheda,35,Female,Bike,24.81,154,407.35,1.2,Wallet,4.0,Completed,Morning
RID00055,2024-05-21 13:21,Vadodara,Gotri,Waghodia Road,50,Female,Bike,5.57,29,147.89,2.0,UPI,,Cancelled,Afternoon
RID00056,2024-08-21 10:55,Rajkot,Raiya Road,Pedak Road,30,Male,Auto,13.93,63,262.8,1.5,Wallet,,Cancelled,Afternoon
RID00057,2024-09-10 01:08,Surat,Piplod,Adajan,50,Female,Bike,17.93,106,299.73,1.2,UPI,,Cancelled,Evening
RID00058,2024-05-15 10:39,Vadodara,Fatehgunj,Harni,43,Male,Bike,18.34,86,506.91,2.0,Card,3.9,Completed,Night
RID00059,2024-08-10 03:48,Vadodara,Vadsar,Waghodia Road,24,Female,Bike,2.64,14,36.92,1.0,Cash,,No Show,Morning
RID00060,2024-04-02 05:11,Rajkot,Kalawad Road,Gondal Road,23,Female,Auto,8.04,37,76.1,1.0,Cash,4.1,Completed,Evening
RID00061,2024-05-27 21:34,Vadodara,Harni,Manjalpur,28,Male,Auto,16.31,79,262.8,2.0,Wallet,,Cancelled,Afternoon
RID00062,2024-10-19 11:36,Rajkot,Aji Dam,Raiya Road,36,Female,Bike,11.96,52,188.3,1.2,UPI,3.5,Completed,Night
RID00063,2024-11-06 11:14,Vadodara,Sama,Alkapuri,30,Female,Bike,18.88,113,238.92,1.0,Cash,,No Show,Morning
RID00064,2024-03-30 06:08,Ahmedabad,Navrangpura,Gota,52,Female,Bike,14.91,84,200.66,1.0,Card,4.5,Completed,Night
RID00065,2024-12-11 12:54,Surat,Udhna,Althan,53,Female,Bike,20.3,99,179.54,1.0,UPI,4.7,Completed,Evening
RID00066,2024-02-25 21:14,Vadodara,Alkapuri,Vadsar,48,Male,Bike,9.85,56,113.35,1.0,Card,,Cancelled,Morning
RID00067,2024-02-29 03:15,Surat,Vesu,Althan,52,Male,Auto,3.8,13,37.34,1.0,Wallet,,Cancelled,Evening
RID00068,2024-11-11 13:17,Vadodara,Vadsar,Harni,20,Female,Auto,18.81,74,269.27,1.2,Cash,,No Show,Night
RID00069,2024-03-03 14:05,Vadodara,Karelibaug,Gotri,31,Male,Auto,24.54,112,498.26,2.0,UPI,3.6,Completed,Evening
RID00070,2024-03-16 19:00,Rajkot,Mavdi,150 Feet Ring Road,35,Male,Bike,20.92,108,291.7,1.5,Cash,3.7,Completed,Afternoon
RID00071,2024-01-27 04:47,Rajkot,150 Feet Ring Road,Gondal Road,44,Male,Bike,1.36,7,15.69,1.0,UPI,3.3,Completed,Morning
RID00072,2024-08-22 20:01,Vadodara,Karelibaug,Vadsar,21,Female,Bike,13.09,82,161.84,1.0,Wallet,,Cancelled,Morning
RID00073,2024-10-26 17:45,Vadodara,Fatehgunj,Waghodia Road,38,Female,Bike,22.58,100,189.54,1.0,Card,4.2,Completed,Night
RID00074,2024-04-26 13:21,Vadodara,Waghodia Road,Akota,47,Female,Bike,21.47,117,396.93,1.5,Wallet,3.9,Completed,Morning
RID00075,2024-02-19 23:47,Ahmedabad,Gota,Prahlad Nagar,41,Male,Bike,9.98,39,100.63,1.2,UPI,3.2,Completed,Evening
RID00076,2024-02-23 18:32,Rajkot,Gondal Road,Kothariya,31,Male,Bike,21.83,123,253.28,1.0,Wallet,,Cancelled,Evening
RID00077,2024-12-02 22:17,Surat,Vesu,Piplod,19,Male,Bike,19.3,100,302.72,1.2,Card,4.2,Completed,Evening
RID00078,2024-09-28 06:24,Rajkot,University Road,Bhaktinagar,44,Female,Bike,21.88,113,221.01,1.2,Card,3.2,Completed,Morning
RID00079,2024-12-11 02:17,Surat,Katargam,Udhna,46,Female,Bike,15.31,94,136.94,1.0,Wallet,,No Show,Evening
RID00080,2024-09-26 21:19,Vadodara,Akota,Sama,20,Male,Auto,3.73,17,45.02,1.0,Wallet,,No Show,Afternoon
RID00081,2024-08-08 05:08,Ahmedabad,Navrangpura,Maninagar,42,Male,Bike,19.42,112,193.59,1.0,Card,4.0,Completed,Evening
RID00082,2024-08-01 09:07,Ahmedabad,Chandkheda,Navrangpura,43,Male,Auto,12.03,44,137.8,1.0,Card,4.4,Completed,Night
RID00083,2024-06-07 23:21,Surat,City Light,Dumas,32,Female,Bike,11.48,43,158.88,1.2,Cash,3.8,Completed,Evening
RID00084,2024-05-11 06:11,Ahmedabad,Thaltej,Satellite,27,Male,Bike,9.43,60,243.11,2.0,Cash,3.2,Completed,Afternoon
RID00085,2024-06-29 16:04,Vadodara,Karelibaug,Waghodia Road,37,Female,Bike,4.62,17,65.35,1.2,Wallet,4.2,Completed,Evening
RID00086,2024-10-10 23:57,Ahmedabad,Navrangpura,Chandkheda,20,Female,Auto,16.47,105,192.54,1.0,Cash,3.9,Completed,Evening
RID00087,2024-03-29 01:15,Rajkot,Aji Dam,Kothariya,46,Female,Bike,11.81,70,164.09,1.0,Cash,4.0,Completed,Afternoon
RID00088,2024-02-03 10:06,Rajkot,University Road,Raiya Road,53,Female,Bike,19.59,108,249.49,1.0,Card,,Cancelled,Night
RID00089,2024-12-28 02:19,Rajkot,Aji Dam,150 Feet Ring Road,53,Female,Auto,14.99,58,147.82,1.0,Card,3.3,Completed,Evening
RID00090,2024-09-05 06:14,Surat,Althan,Vesu,26,Male,Bike,9.68,44,132.68,1.0,UPI,,No Show,Night
RID00091,2024-12-20 19:51,Rajkot,Gondal Road,Aji Dam,28,Female,Bike,22.03,117,339.05,1.5,UPI,3.4,Completed,Morning
RID00092,2024-06-07 15:57,Vadodara,Vadsar,Gotri,30,Female,Bike,7.84,45,88.47,1.2,Wallet,,No Show,Night
RID00093,2024-07-09 17:59,Vadodara,Sama,Karelibaug,24,Male,Bike,20.61,121,272.84,1.0,Card,4.3,Completed,Night
RID00094,2024-01-14 13:03,Ahmedabad,Bopal,Gota,43,Female,Bike,4.54,21,58.57,1.0,Cash,,No Show,Night
RID00095,2024-05-26 15:44,Vadodara,Fatehgunj,Akota,26,Female,Bike,8.65,32,205.87,2.0,Wallet,3.3,Completed,Afternoon
RID00096,2024-05-27 07:19,Ahmedabad,Satellite,Navrangpura,25,Male,Auto,21.04,108,490.37,2.0,Cash,3.2,Completed,Evening
RID00097,2024-05-29 13:00,Vadodara,Harni,Karelibaug,40,Male,Bike,21.08,105,256.08,1.5,Wallet,4.4,Completed,Morning
RID00098,2024-01-23 20:24,Surat,Vesu,City Light,41,Female,Auto,23.88,122,405.66,1.5,UPI,4.7,Completed,Evening
RID00099,2024-11-25 05:53,Rajkot,Gondal Road,Bhaktinagar,47,Female,Bike,19.52,111,171.78,1.0,Cash,4.1,Completed,Afternoon
RID00100,2024-10-05 15:16,Surat,Vesu,Althan,20,Male,Bike,5.84,34,57.78,1.0,Card,4.0,Completed,Morning
RID00101,2024-04-05 15:44,Rajkot,Kalawad Road,Bhaktinagar,49,Female,Auto,20.18,97,301.73,1.2,Card,3.7,Completed,Evening
